Title,Artist,Tempo
We Belong Together,Mariah Carey,    140  BPM 
Hollaback Girl,Gwen Stefani,    110  BPM 
Let Me Love You,Mario,    94  BPM 
Since U Been Gone,Kelly Clarkson,    131  BPM 
Gold Digger,Kanye West featuring Jamie Foxx,    92  BPM 
Boulevard of Broken Dreams,Green Day,    167  BPM 
Candy Shop,50 Cent featuring Olivia,    125  BPM 
Behind These Hazel Eyes,Kelly Clarkson,    90  BPM 
Disco Inferno,50 Cent,    97  BPM 
You and Me,Lifehouse,    140  BPM 
Shake It Off,Mariah Carey,    134  BPM 
Mr. Brightside,The Killers,    148  BPM 
Just a Lil Bit,50 Cent,    189  BPM 
Pon de Replay,Rihanna,    99  BPM 
How We Do,The Game featuring 50 Cent,    98  BPM 
Beverly Hills,Weezer,    176  BPM 
Oh,Ciara featuring Ludacris,    128  BPM 
Lonely No More,Rob Thomas,    86  BPM 
